id,city,state,bathrooms,bedrooms,livingArea,lotArea,lotUnit,price,homeType_CONDO,homeType_MULTI_FAMILY,homeType_SINGLE_FAMILY,homeType_TOWNHOUSE,median_income
0,Justin,TX,3.0,4.0,3078.0,7492.32,sqft,358100.0,0,0,1,0,46658.0
1,Litchfield Park,AZ,5.0,5.0,3722.0,6577.56,sqft,660000.0,0,0,1,0,57188.0
2,Anchorage,AK,2.0,3.0,1388.0,0.0,sqft,232500.0,1,0,0,0,66044.0
3,Berwick,ME,4.0,3.0,2972.0,79714.8,acres,551900.0,0,0,1,0,46016.0
4,Thornton,CO,3.0,2.0,1926.0,0.0,sqft,435000.0,0,0,0,1,65217.0
5,Mount Vernon,IL,3.0,3.0,2157.0,14804.999999999998,acres,175000.0,0,0,1,0,29325.0
6,Taylor,MI,3.0,4.0,1719.0,10890.0,acres,170000.0,0,0,1,0,34276.0
7,New Britain,CT,2.0,2.0,1024.0,0.0,sqft,175000.0,0,0,0,1,41140.0
8,Dunn,NC,2.0,3.0,1546.0,8712.0,sqft,125000.0,0,0,1,0,24591.0
9,Fairmount,GA,2.0,3.0,1551.0,52707.6,acres,224900.0,0,0,1,0,23341.0
10,Cary,IL,4.0,4.0,4026.0,39770.28,acres,770000.0,0,0,1,0,53056.0
11,Seattle,WA,1.0,2.0,1040.0,2008.116,sqft,635000.0,0,0,1,0,72471.0
12,Palmetto,FL,3.0,3.0,2020.0,10454.4,sqft,448310.0,0,0,1,0,37464.0
13,Wichita,KS,2.5,4.0,818.0,8712.0,sqft,228300.0,0,0,1,0,35723.0
14,Saint George,UT,2.0,3.0,1944.0,3049.0,sqft,505100.0,0,0,1,0,30872.0
15,Middletown,DE,3.0,3.0,1750.0,0.0,sqft,305000.0,0,0,0,1,69293.0
16,Saint Paul,MN,2.0,3.0,1078.0,6534.0,sqft,205000.0,0,0,1,0,40179.0
17,Greenville,SC,3.0,3.0,2610.0,177724.80000000002,acres,635000.0,0,0,1,0,41677.0
18,Olathe,KS,4.0,4.0,2504.0,10197.0,sqft,520900.0,0,0,1,0,52982.0
19,Onalaska,WI,2.0,4.0,1900.0,13068.0,acres,260000.0,0,1,0,0,41800.0
20,Cheyenne,WY,3.0,4.0,3200.0,186436.80000000002,acres,525600.0,0,0,1,0,49625.0
21,Aloha,OR,3.0,4.0,2019.0,3920.4,sqft,577000.0,0,0,1,0,41601.02472285765
22,Camden Wyoming,DE,1.0,2.0,840.0,6098.4,sqft,196000.0,0,0,1,0,38455.0
23,Hillsboro,OR,3.0,3.0,1323.0,0.0,sqft,400000.0,0,0,0,1,67430.0
24,Boise,ID,2.0,3.0,1557.0,10105.92,sqft,490900.0,0,0,1,0,35819.0
25,Orlando,FL,3.0,3.0,1709.0,6534.0,sqft,360000.0,0,0,1,0,43622.0
26,Mitchell,SD,1.0,3.0,390.0,7100.0,sqft,59000.0,0,0,1,0,34852.0
27,Morristown,TN,2.0,4.0,2182.0,205603.19999999998,acres,405000.0,0,0,1,0,23893.0
28,Munster,IN,1.0,2.0,1120.0,43560.0,acres,140000.0,0,0,1,0,45240.0
29,Divide,CO,2.0,3.0,1829.0,27878.4,acres,495000.0,0,0,1,0,39792.0
30,Kokomo,IN,3.0,5.0,2781.0,15681.599999999999,acres,299000.0,0,0,1,0,34695.0
31,Nampa,ID,2.0,3.0,1123.0,7579.44,sqft,350500.0,0,0,1,0,31200.0
32,Laramie,WY,2.0,4.0,2110.0,32670.0,acres,277100.0,0,0,1,0,33330.0
33,Morrison,TN,2.0,3.0,1225.0,30056.4,acres,225000.0,0,0,1,0,25758.0
34,Gardner,KS,3.0,4.0,1940.0,10330.0,sqft,325500.0,0,0,1,0,39855.0
35,Charleston,WV,3.0,3.0,1640.0,6534.0,sqft,149000.0,0,0,1,0,25778.0
36,Saint Simons Island,GA,3.0,3.0,2740.0,7405.2,sqft,412000.0,0,0,1,0,51078.0
