median_income,zip_code
9419,00601
9963,00602
10520,00603
10272,00606
12352,00610
9675,00612
8708,00616
10295,00617
8948,00622
11005,00623
10643,00624
9714,00627
6447,00631
10512,00637
10304,00638
8515,00641
14975,00646
10243,00647
11779,00650
14832,00652
7037,00653
11922,00656
10100,00659
12482,00660
10847,00662
4977,00664
11029,00667
8142,00669
6447,00670
10611,00674
8975,00676
10110,00677
11043,00678
8381,00680
9119,00682
10329,00683
7106,00685
12232,00687
9427,00688
14976,00690
11926,00692
10872,00693
36175,00694
8894,00698
11239,00703
9851,00704
12035,00705
13466,00707
11594,00714
9794,00715
12230,00716
9824,00717
13237,00718
8746,00719
8635,00720
9212,00723
13276,00725
18233,00727
12485,00728
12097,00729
10222,00730
8890,00731
13077,00735
11699,00736
12832,00738
12171,00739
8860,00740
12958,00741
12419,00745
10778,00751
10989,00754
11961,00757
12963,00765
11273,00766
10442,00767
11761,00769
11240,00771
8107,00772
14966,00773
13500,00775
13715,00777
14611,00778
8417,00780
7760,00782
9506,00783
12126,00784
36175,00786
12068,00791
10449,00794
11230,00795
14990,00901
153393,00906
27849,00907
17443,00909
24246,00911
17075,00912
8084,00913
9261,00915
10927,00917
18882,00918
16792,00920
14132,00921
9887,00923
12452,00924
9576,00925
19693,00926
21625,00927
36175,00934
36175,00936
15853,00949
36175,00950
36175,00951
9303,00952
12375,00953
14468,00956
15355,00957
18938,00959
36175,00960
18929,00961
9838,00962
8902,00965
26554,00966
25174,00968
26398,00969
12770,00971
15461,00976
27249,00979
19152,00982
18258,00983
15090,00985
17475,00987
43781,01001
36375,01002
36175,01003
46994,01005
56078,01007
52083,01008
81696,01009
23145,01010
65417,01011
40921,01012
26742,01013
38610,01020
39288,01022
35714,01026
42182,01027
38125,01028
36175,01029
40699,01030
20320,01031
33750,01032
39375,01033
44531,01034
52000,01035
38125,01036
36175,01037
44830,01038
44539,01039
30400,01040
43661,01050
36641,01053
55375,01054
37660,01056
38630,01057
38405,01060
36250,01062
36175,01063
36175,01066
45893,01068
39190,01069
46458,01070
48272,01071
51667,01072
50950,01073
36175,01074
43509,01075
37854,01077
36175,01079
42371,01080
40179,01081
40402,01082
23983,01083
36175,01084
38732,01085
36175,01086
36175,01088
32818,01089
36175,01092
61136,01093
18272,01094
46275,01095
41474,01096
36175,01097
47500,01098
25674,01103
24583,01104
12343,01105
55147,01106
11834,01107
27355,01108
18026,01109
47927,01118
29963,01119
33526,01128
38750,01129
30737,01151
36175,01199
31581,01201
37734,01220
39583,01222
47250,01223
36175,01224
31458,01225
41419,01226
36175,01229
38402,01230
41354,01235
48153,01236
35243,01237
48214,01238
39353,01240
36175,01242
29844,01243
36175,01244
48750,01245
24861,01247
46016,01253
39875,01254
60278,01255
34432,01256
57875,01257
40000,01258
38750,01259
36175,01260
26301,01262
24063,01264
28472,01266
41402,01267
39875,01270
31991,01301
47054,01330
31233,01331
36250,01337
36175,01338
45500,01339
52500,01340
53214,01341
78977,01342
36175,01343
29219,01344
25208,01346
36175,01347
59844,01349
31250,01350
51071,01351
48571,01354
56071,01355
41281,01360
27500,01364
57250,01366
36875,01367
48036,01368
33013,01370
57816,01373
34236,01375
24660,01376
35227,01378
35000,01379
41854,01420
60862,01430
64125,01431
59535,01432
36175,01434
36279,01436
36175,01438
29619,01440
46198,01450
78472,01451
41625,01452
37042,01453
54792,01460
47500,01462
50225,01463
44766,01464
36175,01467
41394,01468
51198,01469
60987,01473
64688,01474
31203,01475
45865,01501
54500,01503
38839,01504
53125,01505
47928,01506
57978,01507
52132,01510
47000,01515
48221,01516
24973,01518
59698,01519
57797,01520
51736,01521
87614,01522
39018,01523
40509,01524
36175,01525
44215,01527
49286,01529
68750,01531
58867,01532
38477,01534
61131,01535
50846,01536
48365,01537
29801,01540
72500,01541
41488,01542
47220,01543
47102,01545
32002,01550
47574,01560
